shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shp_3_0_1,38.673699,-9.166491,198,4329.581148008912351
shp_3_0_1,38.673920,-9.166421,199,4354.990509668618870
shp_3_0_1,38.674147,-9.166332,200,4381.279432533454383
shp_3_0_1,38.674383,-9.166206,201,4409.781710114431007
shp_3_0_1,38.674533,-9.166116,202,4428.165740327404819
shp_3_0_1,38.675886,-9.165182,203,4599.041434561206188
shp_3_0_1,38.675920,-9.165156,204,4603.477584992759148
shp_3_0_1,38.675952,-9.165129,205,4607.748875724987556
shp_3_0_1,38.675979,-9.165105,206,4611.401928633628813
shp_3_0_1,38.676008,-9.165078,207,4615.400360850298966
shp_3_0_1,38.676037,-9.165051,208,4619.396104037173245
shp_3_0_1,38.676086,-9.165004,209,4626.176323308152860
shp_3_0_1,38.676137,-9.164947,210,4633.702109339299568
shp_3_0_1,38.676187,-9.164889,211,4641.205250405025254
shp_3_0_1,38.676233,-9.164835,212,4648.141107635434309
shp_3_0_1,38.676274,-9.164774,213,4655.133849767586071
shp_3_0_1,38.676298,-9.164739,214,4659.157413514108157
shp_3_0_1,38.676321,-9.164705,215,4663.153179267843370
shp_3_0_1,38.676371,-9.164625,216,4671.939648086989109
shp_3_0_1,38.676428,-9.164532,217,4682.258470492664856
shp_3_0_1,38.676599,-9.164248,218,4713.393206863106570
shp_3_0_1,38.676769,-9.163963,219,4744.534769417630741
shp_3_0_1,38.676882,-9.163775,220,4765.091222008890327
shp_3_0_1,38.676973,-9.163613,221,4782.496318014435928
shp_3_0_1,38.677009,-9.163543,222,4789.721850906026702
shp_3_0_1,38.677068,-9.163418,223,4802.428321724550187
shp_3_0_1,38.677376,-9.162696,224,4873.801582917961241
shp_3_0_1,38.677744,-9.161831,225,4959.385831163609510
shp_3_0_1,38.678264,-9.160593,226,5081.378149655472043
shp_3_0_1,38.678783,-9.159310,227,5206.839899240218983
shp_3_0_1,38.678821,-9.159216,228,5216.013795492768622
shp_3_0_1,38.678903,-9.159015,229,5235.669755258931218
shp_3_0_1,38.679266,-9.158117,230,5323.520750605081957
shp_3_0_1,38.679332,-9.157953,231,5339.511475472121674
shp_3_0_1,38.679358,-9.157887,232,5345.912931121046313
shp_3_0_1,38.679473,-9.157606,233,5373.456254441150122
shp_3_0_1,38.679606,-9.157277,234,5405.650339307541799
shp_3_0_1,38.679634,-9.157208,235,5412.393177825102612
shp_3_0_1,38.680003,-9.156353,236,5497.192458460996022
shp_3_0_1,38.680175,-9.156051,237,5529.599168513464065
shp_3_0_1,38.680194,-9.156018,238,5533.172538326394715
shp_3_0_1,38.680392,-9.155673,239,5570.357308133513470
shp_3_0_1,38.680419,-9.155626,240,5575.374977333988681
shp_3_0_1,38.681247,-9.154173,241,5731.548220288372249
shp_3_0_1,38.681597,-9.153570,242,5796.733178252538892
shp_3_0_1,38.681814,-9.153192,243,5837.528278780813707
shp_3_0_1,38.681930,-9.152999,244,5858.617395309631320
shp_3_0_1,38.682055,-9.152809,245,5880.269034410045606
shp_3_0_1,38.682220,-9.152606,246,5905.651215909777420
shp_3_0_1,38.682274,-9.152536,247,5914.237315025975477
shp_3_0_1,38.682298,-9.152506,248,5917.902865122915500
shp_3_0_1,38.682485,-9.152264,249,5947.541010739822013
shp_3_0_1,38.682672,-9.152021,250,5977.181509143802032
