stop_id,stop_name,stop_lat,stop_lon,routes
160197,SETÚBAL (AV SOEIRO PEREIRA GOMES)CAB LUZ,38.522910,-8.864560,4405_0|4409_0|4410_0|4416_0|4417_0|4418_0|4420_0
160199,SETÚBAL (AV LUISA TODI 418),38.523300,-8.897590,4405_0|4421_0|4429_0|4433_0
160201,SETÚBAL(AV CIPRESTES) POSTO ABASTECIMENTO,38.533450,-8.884060,4404_0|4405_0|4421_0|4422_0|4428_0|4429_0|4430_0|4431_0|4433_0
160205,SETÚBAL (AV ANTERO QUENTAL 71) VIADUTO,38.535870,-8.883320,4405_0|4421_0|4422_0|4422_1|4428_0|4429_0|4433_0|4562_2|4562_3
160207,SETÚBAL (AV CORAÇÃO MARIA) C COMERCIAL,38.537700,-8.877740,4405_0|4428_0|4429_0
160209,SETÚBAL (AV SOEIRO PEREIRA GOMES) TERM,38.525900,-8.861970,4406_0|4406_1|4407_0|4407_1|4408_0|4412_0|4413_0|4434_0|4434_1|4436_0
160211,SETÚBAL (AV JAIME CORTESÃO 40),38.525000,-8.879180,4406_0|4406_1|4407_0|4407_1|4412_0|4416_0|4417_0|4418_0|4420_0|4436_0
160213,SETÚBAL (R ALMEIDA GARRETT 14),38.528470,-8.887200,3605_0|4406_0|4406_1|4407_0|4407_1|4409_0|4412_0|4414_0|4415_0|4416_0|4417_0|4418_0|4419_0|4420_0|4421_0|4422_0|4422_1|4425_0|4426_0|4426_1|4426_4|4428_0|4432_0|4433_0|4436_0|4438_0|4438_1|4439_0|4440_0|4441_0|4451_0|4453_0|4472_1|4541_0|4547_0|4549_0|4562_0|4562_2|4562_3|4641_0|4642_0|4730_0|4730_1|4730_2
160215,SETÚBAL (R ALJUBARROTA 1),38.533370,-8.868070,4405_0|4407_0|4407_1|4419_0|4438_0|4438_1|4440_0|4441_0|4541_0
160217,SETÚBAL (R TRATADO TORDESILHAS),38.533280,-8.867040,4405_0|4407_0|4407_1|4419_0|4438_0|4438_1|4440_0|4441_0|4541_0
160218,SETÚBAL (R TRATADO TORDESILHAS),38.533320,-8.866940,4405_0|4419_0|4438_0|4438_1|4440_0|4441_0|4541_0
160219,SETÚBAL (AV ALENTEJO 6),38.533950,-8.869190,4407_0|4407_1|4409_0|4540_0|4540_1|4542_0|4543_0|4544_0|4544_1|4546_0|4548_0|4901_0|4901_1|4906_0|4906_1
160220,SETÚBAL (AV ALENTEJO 6),38.533880,-8.869140,4409_0|4540_0|4540_1|4542_0|4543_0|4544_0|4544_2|4546_0|4548_0|4901_0|4901_1|4906_0
160221,SETÚBAL (AV INFANTE D HENRIQUE 39),38.528100,-8.875300,4407_0|4407_1|4434_0|4434_1
160222,SETÚBAL (AV INFANTE D HENRIQUE 39),38.528100,-8.875230,4434_0|4434_1
160223,SETÚBAL (AV ALEXANDRE HERCULANO) BONFIM,38.526859,-8.890487,4407_0|4407_1|4415_0|4418_0|4419_0|4422_1|4425_0|4426_0|4426_1|4426_3|4426_4|4428_0|4441_0|4472_1|4730_0|4730_1|4730_2
160225,SETÚBAL (AV LUISA TODI) CASINO,38.523500,-8.895360,4406_0|4406_1|4407_0|4407_1|4414_0|4415_0|4419_0|4421_0|4422_0|4422_1|4425_0|4426_0|4426_1|4426_3|4426_4|4428_0|4433_0|4438_0|4438_1|4440_0|4441_0|4472_1|4541_0
160227,SETÚBAL (R GIL EANES 16),38.522670,-8.874110,4408_0|4413_0|4425_0|4425_1|4426_0|4426_1|4427_0
160229,SETÚBAL (AV BELA VISTA) SUPERMERCADO,38.522090,-8.872480,4408_0|4413_0|4425_0|4425_1|4426_0|4426_1
160230,SETÚBAL (AV BELA VISTA) SUPERMERCADO,38.522120,-8.872240,4425_0|4426_0|4426_1|4426_4|4427_0
160231,SETÚBAL (AV BELA VISTA BLOCO 5),38.522780,-8.869290,4425_0|4426_0|4426_1|4426_4
160232,SETÚBAL (AV BELA VISTA BLOCO 5),38.522880,-8.869090,4408_0|4413_0|4425_0|4425_1|4426_0|4426_1
160233,SETÚBAL (R PITEIRAS) CENTRO CULTURAL,38.521360,-8.862910,4408_0|4409_0|4413_0|4425_0|4425_1|4426_0|4426_1
160234,SETÚBAL (R PITEIRAS) CENTRO CULTURAL,38.521420,-8.862920,4409_0|4425_0|4426_0|4426_1
160235,SETÚBAL (R PITEIRAS),38.521400,-8.861000,4408_0|4409_0|4413_0|4425_0|4425_1|4426_0|4426_1
160237,SETÚBAL (R ESTEVAS 3),38.522100,-8.861470,4408_0|4409_0|4413_0|4425_0|4425_1|4426_0|4426_1
160239,SETÚBAL (R ADRIANO CORREIA OLIVEIRA) ESC,38.530770,-8.866710,4409_0|4410_0|4416_0|4417_0|4418_0|4420_0|4442_1|4545_0
160240,SETÚBAL (R ADRIANO CORREIA OLIVEIRA) ESC,38.530850,-8.866700,4409_0|4410_0|4416_0|4417_0|4418_0|4420_0|4545_0
160241,SETÚBAL (R ADRIANO CORREIA OLIVEIRA),38.532200,-8.865320,4409_0|4410_0|4416_0|4417_0|4418_0|4420_0
160242,SETÚBAL (R ADRIANO CORREIA OLIVEIRA),38.532200,-8.865230,4409_0|4410_0|4416_0|4417_0|4418_0|4420_0|4545_0
