stop_id,stop_name
149996,Corroios Estação P5
149997,Corroios Estação P3
149998,Corroios Estação P1
149999,Corroios Estação P2
150335,LAGOA A (PARQUE) PRAIA
150339,PRAIA DO MECO
150340,PRAIA DO MECO _
150437,SESIMBRA (PARQUE CAMPISMO)
150439,R 4 DE MAIO X
150441,R. DE PALAMES 61A
150443,R DE PALAMES 40
150444,R DE PALAMES 40
150600,AIANA DE BAIXO
150601,AIANA DE BAIXO
150602,HERDADE DA APOSTIÇA
150603,HERDADE DA APOSTIÇA
150604,Cabeço da Flauta (SBSR)
160052,MANTEIGADAS _
160071,MANTEIGADAS _
160083,SETÚBAL (R CIDADE BEIRA 1)
160084,SETÚBAL (R CIDADE BEIRA 1)
160246,SETÚBAL (AV PEDRO ÁLVARES CABRAL 11) _
160296,ESTR ALGERUZ (CEMITÉRIO) X _
160425,SETÚBAL (ESTR CIPRESTES) OFICINAS MUNICI _
160475,MANTEIGADAS (PISCINAS MUNICIPAIS)
160477,SETÚBAL (MANTEIGADAS)PISCINAS MUNICIPAIS
160511,SETÚBAL (R ALMEIDA GARRETT) JARDM BONFIM
160513,SETÚBAL(AV ALEX HERCULANO)FRANGO VAIDOSO
160576,CHOILO (R JOÃO GONÇALVES ZARCO 180)
160577,CHOILO (R DIOGO DE SILVES 26)
160579,CHOILO (R SOC MUSICAL BREJO CLÉRIGO 29)
160750,VN AZEITÃO (R JOSÉ A COELHO 150)
160795,ALAMBRE
160796,ALAMBRE
160797,CASAIS DA SERRA
160798,CASAIS DA SERRA
160799,X ARRÁBIDA
160800,X ARRÁBIDA
160801,PRAIA DO CREIRO _
160802,PRAIA DO CREIRO
160809,PRAIA ALBARQUEL
160811,AV JOSÉ MOURINHO / TRAV SABOARIA
160813,AV JOSÉ MOURINHO /R TRABALHADORES DO MAR
160817,PRAIA DOS GALAPINHOS
160818,PRAIA DOS GALAPINHOS
160825,SETÚBAL (SABOARIA)
160826,SETÚBAL (SABOARIA)
160831,SETÚBAL (AV ANTERO QUENTAL-ESTR C COMERC)
160833,RUA DO PORTINHO DA ARRÁBIDA
160834,RUA DO PORTINHO DA ARRÁBIDA
160835,EB CASAL DAS FIGUEIRAS
160836,EB CASAL DAS FIGUEIRAS
160837,RUA ORLANDO CURTO
160838,RUA ORLANDO CURTO
160839,R ORLANDO COUTO (PRAIA FIGUEIRINHA)
160855,EN 10 JUNTO A X R DA GÂMBIA
160875,R DO CANAVIAL 264
160877,R JOSÉ ANTÓNIO DA CONCEIÇÃO
160931,R DA SOLIDARIEDADE 13
160932,R DA SOLIDARIEDADE 13
160963,R JOSÉ SACRAMENTO 16
160975,PRAIA DOS GALAPOS
160976,PRAIA DOS GALAPOS
160991,V N AZEITÃO (CENTRO SAUDE)
160994,SETÚBAL (ESTACIONAMENTO FÁBRICA OUTÃO)
161004,SETÚBAL (TERMINAL VÁRZEA - P4)
161005,SETÚBAL (TERMINAL VÁRZEA - P5)
161006,SETÚBAL (TERMINAL VÁRZEA - P6)
170697,Encosta S Marcos
172083,Mira Sintra (EN 250)
172103,R Ferreira de Castro 415b
172535,Av Bons Amigos 48
180089,En 10 (Fábrica)
180104,Av Inf D Pedro 102 (Alverca)
180141,Estr Arcena 3 (Alverca)
180146,N248-3
180162,En 10-6 (X) R Igreja
180237,En 10 (Fábrica Cimianto)
180314,Castanheira do Ribatejo (Estação) P1
180345,R Palha Blanco 186
180351,En 1 (Epal)
180354,EN1 (x) R Julia Palha (Povos)
180421,Lgo Júlia Palha 3 (Jardim)
180423,En 1 (Rotunda) (Castanheira)
180427,Qta Porto de Areia
180477,R 28 Setembro 39 (Vialonga)
180480,R Prof Egas Moniz 6 (Vialonga)
180505,R Egas Moniz (X) R João Deus
180507,Lgo República (Vialonga)
180515,Av Flamenga 4 (Vialonga)
180549,R República 94 (Forte Casa)
180573,R Américo Costa 2 (Escola)
180611,Av Ernest Solvay 2 (Qta Piedade)
180613,Av Ernest Solvay 1 (Qta Piedade)
180616,Av D Vic Af Valente (X) R Ram Curto
180619,R Américo Costa (B Chepsi)
180622,Av Af Valente) (X) R França Borges
180631,Av Ernest Solvay 1 (Qta Piedade)
180633,Av Ernest Solvay 2 (Qta Piedade)
180705,R República (Escola)
180722,Pça Cova Bicho 15 (Alverca)
180729,En 10 (Aqued Águas Livres)
180737,R Cap Salgueiro Maia (Qta Maranhota)
180749,R Prof Egas Moniz (X) R José Afonso
180750,R Prof Egas Moniz (X) R José Afonso
180753,Av D Vic Af Valente 3 (Qta Piedade)
180834,R 25 Abril 14 (Granja)
180836,Granja (X) Rua 9 Abril
180867,Estr Flamenga (Vialonga)
180868,Estr Olival Fora (X) R D Nuno Mendonça
180869,R Amália Rodrigues (Vialonga)
180870,R Amália Rodrigues (Vialonga)
180871,Estr Flamenga (Vialonga)
180872,Estr Flamenga (Vialonga)
180895,Zona Indústrial Povoa
180909,Estr Arruda 8 (Casal Fojo)
180924,Largo Cruz (Calhandriz)
182253,R Qta Piedade (Cemitério)
182254,R Qta Piedade
190009,PIÇARRAS
190011,N4 40
190012,N4 40
190013,N4 56
190014,N4 56
190015,N4 2
190016,N4 2
190017,N4
190018,N4
190019,R DA BOAVISTA 117
190020,R DA BOAVISTA 117
190021,R DA BOAVISTA 70
190022,R DA BOAVISTA 70
190023,RUA DA BELAVISTA
190024,RUA DA BELAVISTA
190025,R TEÓFILO BRAGA 1
190026,R TEÓFILO BRAGA 1
190027,VENDAS NOVAS
200012,R Moinho Velho (X) EM 528
