stop_id,stop_lat,stop_lon,stop_name,imd_id
080975,38.936247,-9.338173,Lgo do Sequeiro (Igreja),21517
080961,38.936547,-9.336102,Rua das Tecedeiras,21518
080969,38.950800,-9.331718,R Francisco Augusto Leite 2,21519
080968,38.953503,-9.333509,A-da-Perra - Lgo do Rochio,21520
080967,38.953537,-9.333399,A-da-Perra - Lgo do Rochio,21521
080965,38.940452,-9.332307,Lgo do Segueiro 2,21522
080973,38.936923,-9.336386,Rua do Castelo (Centro de Saúde),21523
080959,38.936082,-9.338156,Sta Bárbara(X) R Guilherme Ferreira,21524
080958,38.938042,-9.342856,Sta Bárbara(X) R Guilherme Ferreira,21525
080955,38.939328,-9.346607,Av Cap João Lopes,21526
080953,38.945064,-9.356893,Quinta das Pevides,21527
080951,38.944161,-9.355313,Quinta das Pevides (Supermercado),21528
080949,38.929580,-9.353549,Cm 1191 1,21529
080948,38.932356,-9.350552,Em 1191,21530
080947,38.932318,-9.350450,Em 1191,21531
080946,38.934131,-9.347079,Em 1191 5,21532
080945,38.934051,-9.347006,Em 1191 5,21533
080944,38.931561,-9.330525,R Alm Gago Coutinho (Supermercado),21534
080942,38.932791,-9.335966,Estr de Mafra (X) R da Fonte de Mafra,21536
080941,38.932712,-9.335889,Estr de Mafra (X) R da Fonte de Mafra,21537
080940,38.931502,-9.338857,Estr Almada 11,21538
080939,38.931410,-9.338800,Estr Almada 11,21539
080938,38.931417,-9.341036,Estr de Almada 7,21540
080937,38.931356,-9.340837,Estr de Almada 7,21541
080936,38.930699,-9.344560,Estr de Almada (Lgo DO FONTANÁRIO),21542
080935,38.930764,-9.344559,Estr de Almada (Lgo DO FONTANÁRIO),21543
080928,38.941640,-9.250949,En 8 (Malveira),21548
080927,38.941561,-9.250827,En 8 (Malveira),21549
080926,38.944601,-9.249569,En 8 (X) JERUMELO,21550
080925,38.944750,-9.249654,En 8 (X) JERUMELO,21551
080924,38.947565,-9.245010,Estr Do Jerumelo 22,21552
080923,38.947644,-9.244838,Estr Do Jerumelo 22,21553
080922,38.955229,-9.238780,Largo do Areal 10,21554
080921,38.955223,-9.238954,Largo do Areal 10,21555
080919,38.893746,-9.304458,Em 1197 (Largo),21556
080918,38.902246,-9.306563,Em 1197 (X) Ramilo,21557
080917,38.902398,-9.306557,Em 1197 (X) Ramilo,21558
080916,38.910110,-9.306888,Em 1197 (X) Casal de Marreiro,21559
080915,38.910139,-9.306775,Em 1197 (X) Casal de Marreiro,21560
080912,38.925433,-9.225948,R Eng Manuel Monterroso Carneiro 5,21562
080911,38.925456,-9.225810,R Eng Manuel Monterroso Carneiro 5,21563
080908,38.921710,-9.298541,R 1 Maio 15,21564
080907,38.921726,-9.298416,R 1 Maio 15,21565
080906,38.922519,-9.300832,R 1 Maio 20,21566
080905,38.922581,-9.300735,R 1 Maio 20,21567
080904,38.922086,-9.305242,En 548 (Lgo dos Simões),21568
080903,38.922263,-9.304935,En 548 (Lgo dos Simões),21569
080902,38.919927,-9.307936,R 1 Maio (X) LOURICEIRA,21570
080901,38.919945,-9.308116,R 1 Maio (X) LOURICEIRA,21571
080900,38.917985,-9.312831,R 1 Maio 29,21572
080899,38.917936,-9.312725,R 1 Maio (X) Caminho das Curveiras,21573
080898,38.916872,-9.319140,R 1 Maio 29,21574
080897,38.916796,-9.319194,R 1 Maio 29,21575
080895,38.988094,-9.211419,En 9-2,21576
080893,38.985210,-9.215575,En 9-2 20,21577
080891,38.996980,-9.225101,En 9-2,21578
080888,38.984798,-9.274908,R Movimento Das Forças Armadas,21580
080887,38.984883,-9.274923,R Movimento Das Forças Armadas,21581
080886,38.993127,-9.257372,En 9-2 32,21582
080885,38.993386,-9.256963,En 9-2 32,21583
080881,38.997109,-9.225075,En 9-2 (X) S Sebastião,21584
080880,39.005259,-9.227810,R Dr Afonso Marchueta 9,21585
080879,39.004747,-9.227737,R Dr Afonso Marchueta 9,21586
080877,38.997000,-9.224820,En 9-2,21587
080875,38.985405,-9.216088,En 9-22,21588
080873,38.988528,-9.211121,En 9-2,21589
080872,38.992264,-9.207835,R Principal 2,21590
080871,38.992254,-9.207731,R Principal 2,21591
080870,38.994599,-9.211755,R Principal 29,21592
080868,38.941000,-9.346830,Av Dr Francisco Sá Carneiro 25,21594
080866,38.942338,-9.343609,Rua António Fernandes Cura,21596
080865,38.942358,-9.343845,Rua António Fernandes Cura,21597
080863,38.940944,-9.346692,Av Dr Francisco Sá Carneiro 27,21598
080861,38.945720,-9.354721,Av de Portugal 57,21599
080860,38.944302,-9.352043,R Américo Veríssimo Valadas 16,21600
080859,38.939988,-9.349080,R Américo Veríssimo Valadas 16,21601
